epoch,l1,l2,step,train/loss
0,-0.0020622075535357,-0.0018328230362385511,0,0.0
1,-0.0015515495324507356,-0.0009637846960686147,1,2504.97900390625
2,-0.000886215886566788,-4.451803397387266e-05,2,2306.056396484375
3,-0.0001148143201135099,0.0009161068010143936,3,2127.17529296875
4,0.0007357264403253794,0.0019119491335004568,4,1972.004150390625
5,0.001648487290367484,0.0029384654480963945,5,1843.8814697265625
6,0.002609624993056059,0.003991931211203337,6,1745.148681640625
7,0.003602342214435339,0.005068749655038118,7,1676.2291259765625
8,0.004598960280418396,0.006164698861539364,8,1634.606689453125
9,0.0055502778850495815,0.0072741215117275715,9,1614.2332763671875
10,0.006378927268087864,0.00838929507881403,10,1606.08935546875
11,0.006995831150561571,0.009500501677393913,11,1600.0518798828125
12,0.007344133220613003,0.010597112588584423,12,1587.3721923828125
13,0.007425270974636078,0.011669516563415527,13,1562.706298828125
14,0.007280251011252403,0.012711028568446636,14,1524.9901123046875
15,0.006961182691156864,0.013718836009502411,15,1477.0775146484375
16,0.006518091075122356,0.014693674631416798,16,1424.46728515625
17,0.005997168831527233,0.01563858799636364,17,1373.55078125
18,0.005442230962216854,0.016557445749640465,18,1329.7890625
19,0.004895128309726715,0.017453782260417938,19,1296.23046875
20,0.0043939040042459965,0.018330145627260208,20,1272.80029296875
21,0.003969436511397362,0.019187994301319122,21,1256.6492919921875
22,0.003642433322966099,0.020027870312333107,22,1243.44384765625
23,0.003422240726649761,0.020849676802754402,23,1228.9840087890625
24,0.00330764870159328,0.02165289781987667,24,1210.4403076171875
25,0.003288839478045702,0.022436700761318207,25,1186.8671875
26,0.003349526086822152,0.023199953138828278,26,1159.0704345703125
27,0.0034687891602516174,0.02394118718802929,27,1129.08056640625
28,0.003622635267674923,0.024658575654029846,28,1099.4376220703125
29,0.0037856479175388813,0.02534995973110199,29,1072.439697265625
30,0.0039331624284386635,0.026012985035777092,30,1049.490478515625
31,0.004044108092784882,0.026645347476005554,31,1030.71630859375
32,0.004104054067283869,0.027245115488767624,32,1015.0023193359375
33,0.004107506480067968,0.027811018750071526,33,1000.4862670898438
34,0.0040586297400295734,0.028342602774500847,34,985.332763671875
35,0.003970278427004814,0.02884014882147312,35,968.4497680664062
36,0.0038618321996182203,0.02930440381169319,36,949.8330688476562
37,0.003756442107260227,0.02973620593547821,37,930.4205932617188
38,0.003678127657622099,0.03013616055250168,38,911.5809326171875
39,0.003649104619398713,0.030504442751407623,39,894.4963989257812
40,0.0036877517122775316,0.030840735882520676,40,879.7008056640625
41,0.003807531902566552,0.031144272536039352,41,866.9414672851562
42,0.004016903229057789,0.03141389787197113,42,855.38427734375
43,0.004319948144257069,0.03164810687303543,43,844.0363159179688
44,0.004717312753200531,0.031845029443502426,44,832.1827392578125
45,0.00520712323486805,0.03200235217809677,45,819.6458740234375
46,0.005785684566944838,0.032117195427417755,46,806.775634765625
47,0.006447941996157169,0.03218601644039154,47,794.2008056640625
48,0.007187747396528721,0.03220454230904579,48,782.4707641601562
49,0.007998034358024597,0.03216782212257385,49,771.7644653320312
50,0.008870976977050304,0.03207043185830116,50,761.8173828125
51,0.009798197075724602,0.03190680965781212,51,752.1075439453125
52,0.010771026834845543,0.03167169913649559,52,742.1888427734375
53,0.011780837550759315,0.03136059269309044,53,731.9641723632812
54,0.012819417752325535,0.030970068648457527,54,721.734130859375
55,0.013879396952688694,0.030497975647449493,55,712.009521484375
56,0.014954679645597935,0.029943423345685005,56,703.2199096679688
57,0.016040844842791557,0.029306625947356224,57,695.5
58,0.017135435715317726,0.02858869358897209,58,688.6672973632812
59,0.018238065764307976,0.027791447937488556,59,682.3779296875
60,0.01935029961168766,0.026917310431599617,60,676.3444213867188
61,0.020475277677178383,0.025969306007027626,61,670.478759765625
62,0.021617121994495392,0.024951146915555,62,664.8896484375
63,0.02278018370270729,0.023867342621088028,63,659.75830078125
64,0.02396824024617672,0.022723305970430374,64,655.18994140625
65,0.0251837819814682,0.021525386720895767,65,651.1396484375
66,0.026427507400512695,0.020280834287405014,66,647.4561767578125
67,0.02769811451435089,0.018997672945261,67,644.0
68,0.02899237535893917,0.017684506252408028,68,640.741455078125
69,0.030305441468954086,0.0163502749055624,69,637.7664794921875
70,0.03163128346204758,0.015004012733697891,70,635.1917724609375
71,0.03296314924955368,0.01365464087575674,71,633.0614624023438
72,0.03429396077990532,0.01231083832681179,72,631.3031005859375
73,0.03561659902334213,0.01098102517426014,73,629.7705078125
74,0.036924026906490326,0.009673455730080605,74,628.3326416015625
75,0.03820930793881416,0.008396385237574577,75,626.94140625
76,0.03946554288268089,0.0071582552045583725,76,625.6322021484375
77,0.04068578779697418,0.0059678140096366405,77,624.4686279296875
78,0.04186307266354561,0.004834100604057312,78,623.4783935546875
79,0.042990513145923615,0.0037662419490516186,79,622.6303100585938
80,0.0440615676343441,0.00277306349016726,80,621.8606567382812
81,0.04507039487361908,0.0018625825177878141,81,621.1185302734375
82,0.046012237668037415,0.0010414902353659272,82,620.390380859375
83,0.04688375070691109,0.00031474255956709385,83,619.6882934570312
84,0.047683194279670715,-0.00031466386280953884,84,619.0197143554688
85,0.04841047152876854,-0.0008457133080810308,85,618.3700561523438
86,0.049066998064517975,-0.0012792313937097788,86,617.7111206054688
87,0.04965546354651451,-0.001617654343135655,87,617.0242309570312
88,0.05017952248454094,-0.0018647722899913788,88,616.3148803710938
89,0.05064348503947258,-0.0020254950504750013,89,615.6058959960938
90,0.05105200409889221,-0.0021056539844721556,90,614.9171752929688
91,0.05140984058380127,-0.00211183144710958,91,614.2490844726562
92,0.05172165855765343,-0.0020511995535343885,92,613.583740234375
93,0.05199189856648445,-0.0019313488155603409,93,612.9011840820312
94,0.05222469940781593,-0.0017601016443222761,94,612.1945190429688
95,0.0524238683283329,-0.0015453229425475001,95,611.4735107421875
96,0.05259287729859352,-0.0012947461800649762,96,610.7538452148438
97,0.052734896540641785,-0.0010158356744796038,97,610.0458984375
98,0.052852824330329895,-0.0007156962528824806,98,609.349365234375
99,0.05294933170080185,-0.0004010277916677296,99,608.6592407226562
100,0.053026922047138214,-7.811438990756869e-05,100,607.97216796875
101,0.05308796092867851,0.0002471700427122414,101,607.2904663085938
102,0.053134724497795105,0.0005693592829629779,102,606.6189575195312
103,0.053169406950473785,0.0008834073087200522,103,605.9607543945312
104,0.05319412425160408,0.0011847231071442366,104,605.3151245117188
105,0.05321088433265686,0.0014692238764837384,105,604.6800537109375
106,0.05322154611349106,0.0017333973664790392,106,604.0555419921875
107,0.05322776362299919,0.0019743582233786583,107,603.4447631835938
108,0.053230926394462585,0.002189889084547758,108,602.8516845703125
109,0.053232114762067795,0.002378454664722085,109,602.2775268554688
110,0.053232066333293915,0.002539190463721752,110,601.7197265625
111,0.053231168538331985,0.0026718652807176113,111,601.173583984375
